DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-06-29 22:55:27,39895.101562,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,3,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 22:55:32,39900.187500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,3,0,0,2,0,0,4.525,542.000,0,0,,,,,,,,,,,,,,,,
2026-06-29 22:55:39,39907.363281,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,4,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 22:56:00,39927.898438,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,4,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-29 22:58:15,40063.183594,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,5,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 22:58:35,40083.734375,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,5,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-29 23:04:40,40448.230469,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,5,0,0,2,0,0,,,,,Disabled,25.6,40.4,993.0,15.4,0.000,0.000,253872,344900,250888,1651,4.06,84.17
2026-06-29 23:14:52,41061.000000,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,5,0,0,2,0,0,,,,,Disabled,25.5,40.5,993.0,15.4,0.000,0.000,253872,344900,250888,1676,4.05,84.01
2026-06-29 23:25:05,41673.785156,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,5,0,0,2,0,0,,,,,Disabled,25.6,40.6,993.0,15.5,0.000,0.000,253872,344900,250888,1701,4.05,83.85
2026-06-29 23:35:17,42286.558594,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,5,0,0,2,0,0,,,,,Disabled,25.6,40.3,993.0,15.4,0.000,0.000,253872,344900,250888,1726,4.05,83.68
2026-06-29 23:43:08,42757.148438,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,6,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
